cell_id,fold
P004_2_S04_C11,3
P006_1_S06_C10,3
P007_3_S10_C05,3
P009_2_S13_C09,3
P011_1_S10_C11,3
P012_3_S14_C11,3
P014_2_S18_C10,3
P016_1_S15_C11,3
P017_3_S05_C05,3
P019_2_S02_C04,3
P021_1_S02_C08,3
P022_3_S05_C04,3
P024_2_S04_C00,3
P026_1_S01_C07,3
P027_3_S03_C05,3
P029_2_S08_C07,3
P031_1_S06_C04,3
P032_3_S08_C00,3
P034_2_S08_C06,3
P036_1_S05_C09,3
P037_3_S10_C04,3
P039_2_S06_C05,3
P041_1_S11_C08,3
P042_3_S14_C05,3
P044_2_S12_C00,3
P046_1_S12_C06,3
P047_3_S15_C01,3
P049_2_S11_C09,3
P051_1_S10_C08,3
P052_3_S13_C01,3
P054_2_S17_C06,3
P056_1_S16_C00,3
P057_3_S19_C08,3
P059_2_S18_C04,3
P061_1_S16_C09,3
P062_3_S18_C07,3
P064_2_S18_C01,3
P066_1_S02_C03,3
P067_3_S05_C01,3
P069_2_S09_C02,3
P071_1_S11_C03,3
P072_3_S14_C02,3
P074_2_S18_C03,3
P076_1_S15_C04,3
P002_2_S03_C10,4
P004_1_S03_C11,4
P005_3_S09_C09,4
P007_2_S09_C10,4
P009_1_S12_C09,4
P010_3_S13_C10,4
P012_2_S13_C11,4
P014_1_S17_C10,4
P015_3_S17_C11,4
P017_2_S04_C07,4
P019_1_S01_C04,4
P020_3_S03_C00,4
P022_2_S04_C06,4
P024_1_S01_C01,4
P025_3_S03_C09,4
P027_2_S02_C05,4
P029_1_S06_C08,4
P030_3_S09_C05,4
P032_2_S07_C00,4
P034_1_S07_C06,4
P035_3_S10_C02,4
P037_2_S06_C09,4
P039_1_S05_C10,4
P040_3_S08_C01,4
P042_2_S13_C05,4
P044_1_S11_C00,4
P045_3_S14_C08,4
P047_2_S14_C04,4
P049_1_S10_C10,4
P050_3_S12_C07,4
P052_2_S12_C01,4
P054_1_S16_C06,4
P055_3_S17_C04,4
P057_2_S18_C08,4
P059_1_S15_C06,4
P060_3_S19_C00,4
P062_2_S17_C07,4
P064_1_S17_C01,4
P065_3_S04_C02,4
P067_2_S02_C02,4
P069_1_S08_C02,4
P070_3_S09_C01,4
P072_2_S13_C02,4
P074_1_S17_C03,4
P075_3_S19_C02,4
P002_1_S02_C10,5
P003_3_S05_C07,5
P005_2_S08_C09,5
P007_1_S06_C11,5
P008_3_S09_C11,5
P010_2_S12_C10,5
P012_1_S12_C11,5
P013_3_S19_C09,5
P015_2_S16_C11,5
P017_1_S01_C08,5
P018_3_S04_C05,5
P020_2_S02_C00,5
P022_1_S03_C06,5
P023_3_S05_C03,5
P025_2_S02_C09,5
P027_1_S01_C05,5
P028_3_S04_C01,5
P030_2_S08_C05,5
P032_1_S06_C00,5
P033_3_S09_C08,5
P035_2_S09_C04,5
P037_1_S05_C11,5
P038_3_S10_C03,5
P040_2_S07_C01,5
P042_1_S11_C06,5
P043_3_S14_C03,5
P045_2_S13_C08,5
P047_1_S13_C04,5
P048_3_S15_C00,5
P050_2_S11_C07,5
P052_1_S11_C01,5
P053_3_S19_C07,5
P055_2_S16_C04,5
P057_1_S17_C08,5
P058_3_S19_C06,5
P060_2_S16_C01,5
P062_1_S16_C07,5
P063_3_S18_C05,5
P065_2_S03_C02,5
P067_1_S01_C02,5
P068_3_S08_C03,5
P070_2_S07_C02,5
P072_1_S10_C07,5
P073_3_S14_C01,5
P075_2_S18_C02,5
